"method","event_date","catt","se"
"Gsynth",-100,0.000170101662677477,0.00105586427959206
"Gsynth",-99,0.0018944754999057,0.00146369976990463
"Gsynth",-98,0.00339430409433693,0.00183630758095285
"Gsynth",-97,0.00287100601060191,0.00208722740964032
"Gsynth",-96,0.00308597066052253,0.00220970875581417
"Gsynth",-95,0.00381817566021944,0.00247908602395341
"Gsynth",-94,0.00415941856940619,0.00269759251834111
"Gsynth",-93,0.00371029490061356,0.00279905901173152
"Gsynth",-92,0.00374034212452152,0.00297950429897987
"Gsynth",-91,0.00273368215035645,0.0031062144539326
"Gsynth",-90,0.00365014883775246,0.00332843946672633
"Gsynth",-89,0.00206311913700508,0.00341481047888667
"Gsynth",-88,0.0014664525053548,0.00346802214398374
"Gsynth",-87,0.00145011575921251,0.00356147393072341
"Gsynth",-86,0.00312617394310291,0.00365470784250653
"Gsynth",-85,0.00388360436916031,0.00374166276360556
"Gsynth",-84,0.00402441290122676,0.00385399963793196
"Gsynth",-83,0.00291197822357817,0.00400170821510071
"Gsynth",-82,0.00351696923576205,0.00400830771371873
"Gsynth",-81,0.0023604116035011,0.00413749973127607
"Gsynth",-80,0.00160804902282585,0.00440168562594269
"Gsynth",-79,0.00210816311700695,0.00450133299277532
"Gsynth",-78,0.00410723096540024,0.0046345699262563
"Gsynth",-77,0.00409355691321282,0.00470456647503004
"Gsynth",-76,0.00436421957377024,0.00485744728669122
"Gsynth",-75,0.00325605616062701,0.00495219414001361
"Gsynth",-74,0.00455498598935189,0.00496924848919766
"Gsynth",-73,0.00566687833539939,0.00502368662148282
"Gsynth",-72,0.00763343166923855,0.00532863008962583
"Gsynth",-71,0.00933241336010484,0.00569541650355527
"Gsynth",-70,0.00881012506678533,0.00568877155110526
"Gsynth",-69,0.00808848347586697,0.00578315132859807
"Gsynth",-68,0.00917637844086348,0.00611052622942674
"Gsynth",-67,0.00761704529833776,0.00615122027146532
"Gsynth",-66,0.0074990741613825,0.0061466603953822
"Gsynth",-65,0.00764303310040305,0.0062953162720412
"Gsynth",-64,0.00906858957760363,0.00635177750998632
"Gsynth",-63,0.00880225420259555,0.00646011144727061
"Gsynth",-62,0.00792944681118246,0.00650727727369881
"Gsynth",-61,0.00814151574069572,0.00656746221153147
"Gsynth",-60,0.00987552330492614,0.00661967951440919
"Gsynth",-59,0.00907619718883696,0.00669089292720361
"Gsynth",-58,0.00977085872428898,0.00676372075828801
"Gsynth",-57,0.0101452006362608,0.00674023889291108
"Gsynth",-56,0.0109582888155192,0.00683465341637724
"Gsynth",-55,0.011086087053447,0.00693152695212692
"Gsynth",-54,0.0120890776713309,0.00710106391018175
"Gsynth",-53,0.0125712536861844,0.00725123689886552
"Gsynth",-52,0.0121124284705912,0.00733021785280274
"Gsynth",-51,0.0135265386856015,0.00738847721974767
"Gsynth",-50,0.0138743391202455,0.00745234873031926
"Gsynth",-49,0.0135188749359277,0.00750197984920046
"Gsynth",-48,0.0144051317920961,0.00806224898327094
"Gsynth",-47,0.0149853588007732,0.00833230329846616
"Gsynth",-46,0.0136286672832068,0.00822594366357224
"Gsynth",-45,0.0147676809202649,0.00851766379706767
"Gsynth",-44,0.0162841616134288,0.00861439630516282
"Gsynth",-43,0.0159279938106369,0.00875408183963961
"Gsynth",-42,0.0168166486974275,0.00891561391640638
"Gsynth",-41,0.0169839950067059,0.00902675770646527
"Gsynth",-40,0.0180376900805248,0.0089851892823609
"Gsynth",-39,0.0186355285013777,0.0089548045888786
"Gsynth",-38,0.0182635076427644,0.00904303898022608
"Gsynth",-37,0.0172341808876936,0.00913472707006706
"Gsynth",-36,0.017080865212434,0.00922206184573093
"Gsynth",-35,0.016297408761668,0.0091994744434116
"Gsynth",-34,0.0151532631047155,0.00945890139943481
"Gsynth",-33,0.015419822683172,0.0096760128692242
"Gsynth",-32,0.0165288062245945,0.00973234229214313
"Gsynth",-31,0.0149825106907217,0.00986500196783214
"Gsynth",-30,0.0153450428720468,0.0098891290266374
"Gsynth",-29,0.0154000482402618,0.00998581479644259
"Gsynth",-28,0.0166382530431817,0.0100262973370439
"Gsynth",-27,0.016121108705488,0.0101048920691369
"Gsynth",-26,0.01681732519705,0.0103145844666856
"Gsynth",-25,0.0174852469022005,0.0103418959013158
"Gsynth",-24,0.0174220440588009,0.0103570413852567
"Gsynth",-23,0.0175600410245312,0.0105456456401722
"Gsynth",-22,0.0170898485813,0.0106135381636558
"Gsynth",-21,0.0179743298093512,0.0107527681744058
"Gsynth",-20,0.0184806415305881,0.0108184656095991
"Gsynth",-19,0.0180755657988653,0.010781920260824
"Gsynth",-18,0.0192599069440276,0.0108375862408424
"Gsynth",-17,0.0188258958695958,0.0108084441113262
"Gsynth",-16,0.022085823995972,0.0109560713364873
"Gsynth",-15,0.0227479932374088,0.0110557483645849
"Gsynth",-14,0.0216623866586455,0.0111725258023944
"Gsynth",-13,0.0214765437263584,0.0112082535805894
"Gsynth",-12,0.0201564794923542,0.0112736410475076
"Gsynth",-11,0.0196333764767479,0.0112995607870481
"Gsynth",-10,0.0180479958386937,0.0114143630424966
"Gsynth",-9,0.0177913550717858,0.0114301588214346
"Gsynth",-8,0.016932216724445,0.0114867860485497
"Gsynth",-7,0.0165805617206118,0.0116094873536466
"Gsynth",-6,0.0149130099686588,0.0117126966193794
"Gsynth",-5,0.0165614700607379,0.0118498018089653
"Gsynth",-4,0.0176301897287607,0.0119953909534999
"Gsynth",-3,0.0193965635533049,0.0120210920402494
"Gsynth",-2,0.021133104212235,0.0121825754053993
"Gsynth",-1,0.0219650489421224,0.012240134807911
"Gsynth",0,0.0241157216279078,0.0123322042558427
"Gsynth",1,0.054005384888987,0.0124173368367201
"Gsynth",2,0.0528523067090323,0.0125773621521413
"Gsynth",3,0.0525285045664195,0.0126754242925615
"Gsynth",4,0.0517232831337261,0.0127593302291684
"Gsynth",5,0.0520300776209197,0.0127194525019564
"Gsynth",6,0.0513162142547877,0.0128461760615194
"Gsynth",7,0.0501142453695579,0.0129117777463944
"Gsynth",8,0.0491282023556852,0.0128293287547643
"Gsynth",9,0.0474646682761314,0.0129100046887349
"Gsynth",10,0.0461194130645838,0.0128685663573161
"Gsynth",11,0.0442185090096243,0.0129808095632942
"Gsynth",12,0.0434514078135784,0.0129156399677002
"Gsynth",13,0.0405392299496249,0.0130500715924509
"Gsynth",14,0.0404212035910208,0.0130795861161317
"Gsynth",15,0.0398208043926798,0.0132438315660844
"Gsynth",16,0.0387849874351761,0.0132851103207182
"Gsynth",17,0.0390218290487695,0.0134425785976198
"Gsynth",18,0.0377929830596481,0.0134354307569068
"Gsynth",19,0.0377158271907391,0.0135823618211996
"Gsynth",20,0.0373584670211302,0.0136450225438321
"CFM",-100,0.000133179963581302,0.000203256900028514
"CFM",-99,0.000303514113370706,0.000366304817670159
"CFM",-98,0.000299849998816748,0.000475438693997606
"CFM",-97,0.000291612666912443,0.000586646956918393
"CFM",-96,0.000147014825423867,0.000686781601364484
"CFM",-95,0.000389007796113543,0.000763274330190255
"CFM",-94,0.000890154836438839,0.000863939775913478
"CFM",-93,0.0015714926592291,0.00103349361819224
"CFM",-92,0.00161292156993315,0.00121963816448677
"CFM",-91,0.00147827338529798,0.0012826495034631
"CFM",-90,0.00154506128003611,0.0014037336659347
"CFM",-89,0.00148462969940334,0.00153838623156857
"CFM",-88,0.00163307986769637,0.00171752333778936
"CFM",-87,0.00258647608975918,0.00190766421747497
"CFM",-86,0.00240134960297221,0.00196859621939639
"CFM",-85,0.00287554426341315,0.00204687748263602
"CFM",-84,0.00262749819357243,0.0021289345775847
"CFM",-83,0.00241850330751813,0.00230683849994587
"CFM",-82,0.00248596786963072,0.00241644697377112
"CFM",-81,0.00228730613108033,0.00255956176783077
"CFM",-80,0.00237487418462236,0.00265983627700774
"CFM",-79,0.00240853039829747,0.00275739063173485
"CFM",-78,0.00237899437289405,0.002892383762292
"CFM",-77,0.00239142009194394,0.00296698303573375
"CFM",-76,0.00234928765689047,0.00307192519384353
"CFM",-75,0.00227606998947637,0.00318197068069158
"CFM",-74,0.00228359529151774,0.00330062776044102
"CFM",-73,0.0022902587646405,0.00340998502360515
"CFM",-72,0.00248248284662357,0.00354245349552104
"CFM",-71,0.00277637141200188,0.00365101198295731
"CFM",-70,0.00262071962496316,0.00374015060583314
"CFM",-69,0.00263266373577661,0.00386380735210732
"CFM",-68,0.00248478035842574,0.00398011026539064
"CFM",-67,0.00311718116438677,0.00404180800483096
"CFM",-66,0.00316784114978931,0.0041324357536511
"CFM",-65,0.00319849441144497,0.00425280137979766
"CFM",-64,0.00329595800480375,0.00438290353445774
"CFM",-63,0.0033308276816601,0.00449069075721647
"CFM",-62,0.00363407581194477,0.0045801280042573
"CFM",-61,0.00349115839771438,0.00471325404014571
"CFM",-60,0.00346191632367962,0.0048214351610086
"CFM",-59,0.0034291508830489,0.00494051425387278
"CFM",-58,0.00335951766458437,0.00505603569871168
"CFM",-57,0.00334700695762563,0.00515520214542087
"CFM",-56,0.00343692444576177,0.0052535471844417
"CFM",-55,0.00349499142246036,0.00536384165547774
"CFM",-54,0.0035487478184483,0.00547810889495692
"CFM",-53,0.00343552131669059,0.00559840359203976
"CFM",-52,0.00382160360076121,0.00570495720555312
"CFM",-51,0.00408022980160012,0.00580321506086647
"CFM",-50,0.00423483475332012,0.00591509438955595
"CFM",-49,0.00452522913182485,0.00603005342513494
"CFM",-48,0.00428396001261398,0.00613474562656099
"CFM",-47,0.00450497376433769,0.00625246355634948
"CFM",-46,0.00491007048399533,0.0063514281901046
"CFM",-45,0.00513576363823253,0.00647070961497151
"CFM",-44,0.00538012861202129,0.00660557854545289
"CFM",-43,0.00565347693480387,0.00670562534155372
"CFM",-42,0.00568479402346531,0.00676396662596607
"CFM",-41,0.00586918346926085,0.00685220796080495
"CFM",-40,0.00720738435008645,0.00695202712464577
"CFM",-39,0.00776085230248508,0.00706499383847161
"CFM",-38,0.00780707049744967,0.0071864296642237
"CFM",-37,0.00818033080908961,0.00730918380511985
"CFM",-36,0.00828732891524226,0.00740707351658076
"CFM",-35,0.00863062439531884,0.00749986871453409
"CFM",-34,0.00886338111968809,0.00761195209770014
"CFM",-33,0.00859193700962654,0.00772613770582786
"CFM",-32,0.00878681870639816,0.00782251779349798
"CFM",-31,0.00885900582775974,0.00791084624957588
"CFM",-30,0.00894336299346753,0.00800728649964755
"CFM",-29,0.00953311492132327,0.00811286873342005
"CFM",-28,0.00997829251307953,0.00822433109820339
"CFM",-27,0.0100083708180826,0.00835107550535122
"CFM",-26,0.00990976242263212,0.00844213294344159
"CFM",-25,0.0101095105332414,0.00854765469475658
"CFM",-24,0.0113907222631961,0.00867750938748923
"CFM",-23,0.0108972814189198,0.0088513313116057
"CFM",-22,0.0115529268376102,0.00895841774076677
"CFM",-21,0.0117013536575213,0.0090462287022947
"CFM",-20,0.0115058086709635,0.00916980274885234
"CFM",-19,0.0115431474189157,0.00925600029564696
"CFM",-18,0.0115447889427287,0.0093801252593449
"CFM",-17,0.0117301165678876,0.00949456336097136
"CFM",-16,0.0116620469147855,0.00959299202785414
"CFM",-15,0.0114418628075085,0.00972250066823903
"CFM",-14,0.0114725910834926,0.0098210431405418
"CFM",-13,0.0116668931371675,0.00990902084276139
"CFM",-12,0.0120289992573631,0.00999397917181791
"CFM",-11,0.0121479364554889,0.0100700409640289
"CFM",-10,0.0120853318511351,0.0101396324518999
"CFM",-9,0.0121405213384264,0.0102181925416404
"CFM",-8,0.012364349135579,0.0103537247751528
"CFM",-7,0.011918563266064,0.0104537089497453
"CFM",-6,0.012193333126023,0.0105471599541716
"CFM",-5,0.0116247132038532,0.0106538477049806
"CFM",-4,0.0118272208608609,0.0107583429448269
"CFM",-3,0.0118525490308778,0.0108766433066632
"CFM",-2,0.00947786679862826,0.0112437714603994
"CFM",-1,0.00974337278457188,0.0113209666198664
"CFM",0,0.0101014625751649,0.0114355120114855
"CFM",1,0.01066508156801,0.0115493082746355
"CFM",2,0.0102435922561194,0.0116684080268937
"CFM",3,0.0102805691268849,0.0117399392133982
"CFM",4,0.0101953861095293,0.0118397047457082
"CFM",5,0.0104254054199567,0.0119188805819301
"CFM",6,0.0109337401975528,0.0120145045479906
"CFM",7,0.0114885287374672,0.0121039772410418
"CFM",8,0.0113076714601372,0.0121910524516366
"CFM",9,0.0108337109585662,0.0122740571716255
"CFM",10,0.0103268934146975,0.0123332505792876
"CFM",11,0.0114362228604715,0.0124349827645233
"CFM",12,0.0115784602174256,0.0124743071076696
"CFM",13,0.0109072061810523,0.012554426085922
"CFM",14,0.0111948719671228,0.0126327110435797
"CFM",15,0.0111852982046652,0.0127192305353555
"CFM",16,0.0129580907160417,0.0128962674289873
"CFM",17,0.0147034082935422,0.0130503895379725
"CFM",18,0.0142956492066667,0.0131322523056013
"CFM",19,0.0147832539728677,0.0132391714865421
"CFM",20,0.0147029675186794,0.0133456650417595
"APM",-100,-0.00124957363536461,0.00130813016216029
"APM",-99,0.00129489437214765,0.00180061507322526
"APM",-98,0.00257469689523215,0.0022623127291585
"APM",-97,0.00372883221996701,0.00272008721298506
"APM",-96,0.00429380939717046,0.00297510525005435
"APM",-95,0.00356885259964608,0.00332704115765861
"APM",-94,0.00449686838364701,0.00358114009345301
"APM",-93,0.00532475277365016,0.0040559740609618
"APM",-92,0.00647469686529233,0.00457622372388669
"APM",-91,0.00429998997452271,0.00472479489834627
"APM",-90,0.00472508929902393,0.00503028277929978
"APM",-89,0.00373751767034818,0.00536133478324417
"APM",-88,0.00487401447387898,0.00596292670842967
"APM",-87,0.00720724178176186,0.00673699072081312
"APM",-86,0.00507897001296961,0.00657321101759993
"APM",-85,0.00495750118787335,0.00688210860911072
"APM",-84,0.004143508762953,0.00701239439660214
"APM",-83,0.0023898673642821,0.00764081356444206
"APM",-82,0.00204449427349405,0.00777797156436471
"APM",-81,-0.00182822950470065,0.00821143311153036
"APM",-80,-0.00320940055592796,0.00826447290500739
"APM",-79,-0.00328304264409423,0.00838536532672212
"APM",-78,-0.000884166213604081,0.00873631271687147
"APM",-77,-0.00253835845356602,0.00893294332533605
"APM",-76,-0.00445087476683382,0.00927326811510493
"APM",-75,-0.00566460870002157,0.00947474505186703
"APM",-74,-0.00457457908702566,0.00974194445392955
"APM",-73,-0.0056536810018459,0.0100971625361474
"APM",-72,-0.0054668026600425,0.010431339922353
"APM",-71,-0.00407930061775413,0.0107301134422623
"APM",-70,-0.00352604494207481,0.0109594816002997
"APM",-69,-0.00501876032979034,0.011090522968728
"APM",-68,-0.0063062139530036,0.0114223732146152
"APM",-67,-0.00826665101930627,0.011625966033923
"APM",-66,-0.0103743137333763,0.0117358665518264
"APM",-65,-0.00927431733646713,0.0117663770760236
"APM",-64,-0.00763678521410587,0.0120635182522883
"APM",-63,-0.00791156980337709,0.0122856479680939
"APM",-62,-0.00978576262211479,0.0124490978493278
"APM",-61,-0.0114206944790719,0.0127480199005975
"APM",-60,-0.0106668454471673,0.0129752838056965
"APM",-59,-0.0125488607363754,0.0132404854161726
"APM",-58,-0.0122750811812354,0.0134767425350582
"APM",-57,-0.0127104490679787,0.0135744077070382
"APM",-56,-0.0134449871565046,0.013728648837779
"APM",-55,-0.0139165520553151,0.0139268117372821
"APM",-54,-0.0131514537215066,0.0141131510829512
"APM",-53,-0.0148860772760304,0.014365836073025
"APM",-52,-0.0154504146988211,0.0144983469575109
"APM",-51,-0.0143929721832815,0.0146707704926352
"APM",-50,-0.0148527128209359,0.0147757021853715
"APM",-49,-0.0140369829040939,0.0149923445941019
"APM",-48,-0.0122596370970104,0.015215411902458
"APM",-47,-0.0146042926152345,0.015575331939787
"APM",-46,-0.0151483041416806,0.0156360680575678
"APM",-45,-0.0138226478635049,0.0160418322955495
"APM",-44,-0.0112945911857119,0.0163652941039967
"APM",-43,-0.0109672170010524,0.0165961182788929
"APM",-42,-0.0120574060091926,0.0166746454745822
"APM",-41,-0.0134201426557779,0.0166669014829763
"APM",-40,-0.0107643170711929,0.0166365947780317
"APM",-39,-0.00900698046159655,0.0166489494068756
"APM",-38,-0.0109148724982618,0.0166166430499295
"APM",-37,-0.0117162741535697,0.0166740904548119
"APM",-36,-0.0111717198132126,0.0167419162093794
"APM",-35,-0.0116730433017262,0.0168934954022972
"APM",-34,-0.0133336108351303,0.0171068434054128
"APM",-33,-0.0150616949380143,0.0171741000547911
"APM",-32,-0.0142782183802111,0.0171983962065639
"APM",-31,-0.0128570106603211,0.0173282800380009
"APM",-30,-0.0122436444058531,0.0173601547428947
"APM",-29,-0.00989620545459901,0.0174385688884215
"APM",-28,-0.0108736307270602,0.0174783763795769
"APM",-27,-0.0119100006635266,0.0176544660958552
"APM",-26,-0.0112366384044731,0.0178807873331054
"APM",-25,-0.0103065745517976,0.0179511716622724
"APM",-24,-0.00799810513347985,0.0179999569046016
"APM",-23,-0.00915150322600439,0.0182743811457484
"APM",-22,-0.0106323571467012,0.0182726516735821
"APM",-21,-0.00900882205838561,0.0182839670649506
"APM",-20,-0.00887039281268831,0.0182490061327951
"APM",-19,-0.00882646395896867,0.0183981696905235
"APM",-18,-0.00870140904863167,0.0186138926110904
"APM",-17,-0.0101187657307466,0.0189155104737342
"APM",-16,-0.00604980568664997,0.0190802712677035
"APM",-15,-0.00648583610842574,0.0193236658183898
"APM",-14,-0.0070482117360501,0.0193615188417716
"APM",-13,-0.0076399912215466,0.0193662710134427
"APM",-12,-0.00821260671616289,0.0192529889728375
"APM",-11,-0.00790772447896292,0.0191914520385809
"APM",-10,-0.0102871155810995,0.0193132553252821
"APM",-9,-0.0121501685119095,0.019270924751484
"APM",-8,-0.014646476029255,0.0193230259837545
"APM",-7,-0.0159256110553889,0.0195205440160108
"APM",-6,-0.0160680579713364,0.0196462251449783
"APM",-5,-0.0153345594655131,0.0196071194055028
"APM",-4,-0.0141667572814743,0.019636763368613
"APM",-3,-0.013272043363169,0.0198362690304015
"APM",-2,-0.0209662776933213,0.0215976953822271
"APM",-1,-0.018545249173166,0.021693686698393
"APM",0,-0.0174740179420452,0.0217188178623474
"APM",1,0.0113295309435514,0.0216187378821089
"APM",2,0.00725314441928768,0.0217575624164569
"APM",3,0.00736489651638403,0.0217042799489866
"APM",4,0.00651125993799648,0.0217739690170062
"APM",5,0.00651336885450384,0.0216254176317595
"APM",6,0.00492263390592746,0.0216253133925882
"APM",7,0.00453682184478957,0.0217690138397963
"APM",8,0.00403197247998942,0.0219420141584924
"APM",9,0.00124018650102878,0.0221714165516718
"APM",10,-0.00282491868357004,0.0221779664266485
"APM",11,-0.00362532273997192,0.0222057248912914
"APM",12,-0.00562012762460622,0.022143474071261
"APM",13,-0.0083117967413264,0.0222061220673292
"APM",14,-0.00833427173149785,0.0219865473777717
"APM",15,-0.010339047502583,0.021911227333756
"APM",16,-0.0128565787287831,0.022097741951667
"APM",17,-0.012220836402994,0.0221912209630528
"APM",18,-0.0150621583651817,0.0221709536716202
"APM",19,-0.0136261035481653,0.0220951824104537
"APM",20,-0.0163054939021254,0.0222769281502473
