"panel","row","col","estimate"
"Panel A: Random Assignment + Random Timing","Causal Factor Model","All Periods: E(Bias)",-0.00308310963779848
"Panel A: Random Assignment + Random Timing","Causal Factor Model","All Periods: MAD",0.042715897846993
"Panel A: Random Assignment + Random Timing","Causal Factor Model","All Periods: RMSE",2.66578889484798
"Panel A: Random Assignment + Random Timing","Causal Factor Model","Treated Periods: E(Bias)",-2.33649801053275
"Panel A: Random Assignment + Random Timing","Causal Factor Model","Treated Periods: MAD",2.33649801053275
"Panel A: Random Assignment + Random Timing","Causal Factor Model","Treated Periods: Coverage",0.04
"Panel A: Random Assignment + Random Timing","Causal Factor Model","Untreated Periods: E(Bias)",0.230258380451697
"Panel A: Random Assignment + Random Timing","Causal Factor Model","Untreated Periods: MAD",0.230258380451697
"Panel A: Random Assignment + Random Timing","Causal Factor Model","Untreated Periods: Coverage",0.008
"Panel A: Random Assignment + Random Timing","Aggregated Proj. Matrix","All Periods: E(Bias)",-0.00259466714003529
"Panel A: Random Assignment + Random Timing","Aggregated Proj. Matrix","All Periods: MAD",0.0386704208380603
"Panel A: Random Assignment + Random Timing","Aggregated Proj. Matrix","All Periods: RMSE",0.571685680115786
"Panel A: Random Assignment + Random Timing","Aggregated Proj. Matrix","Treated Periods: E(Bias)",0.0293738054777892
"Panel A: Random Assignment + Random Timing","Aggregated Proj. Matrix","Treated Periods: MAD",0.170342718746491
"Panel A: Random Assignment + Random Timing","Aggregated Proj. Matrix","Treated Periods: Coverage",1
"Panel A: Random Assignment + Random Timing","Aggregated Proj. Matrix","Untreated Periods: E(Bias)",-0.00579151440181774
"Panel A: Random Assignment + Random Timing","Aggregated Proj. Matrix","Untreated Periods: MAD",0.0379595319161195
"Panel A: Random Assignment + Random Timing","Aggregated Proj. Matrix","Untreated Periods: Coverage",0.438
"Panel B: Assignment Selection + Random Timing","Causal Factor Model","All Periods: E(Bias)",0.0148709661387469
"Panel B: Assignment Selection + Random Timing","Causal Factor Model","All Periods: MAD",0.0467786264259718
"Panel B: Assignment Selection + Random Timing","Causal Factor Model","All Periods: RMSE",2.67086750441625
"Panel B: Assignment Selection + Random Timing","Causal Factor Model","Treated Periods: E(Bias)",-2.32803370298165
"Panel B: Assignment Selection + Random Timing","Causal Factor Model","Treated Periods: MAD",2.32803370298165
"Panel B: Assignment Selection + Random Timing","Causal Factor Model","Treated Periods: Coverage",0.04
"Panel B: Assignment Selection + Random Timing","Causal Factor Model","Untreated Periods: E(Bias)",0.249161433050786
"Panel B: Assignment Selection + Random Timing","Causal Factor Model","Untreated Periods: MAD",0.249161433050786
"Panel B: Assignment Selection + Random Timing","Causal Factor Model","Untreated Periods: Coverage",0.012
"Panel B: Assignment Selection + Random Timing","Aggregated Proj. Matrix","All Periods: E(Bias)",0.0171310998931587
"Panel B: Assignment Selection + Random Timing","Aggregated Proj. Matrix","All Periods: MAD",0.0472213005704201
"Panel B: Assignment Selection + Random Timing","Aggregated Proj. Matrix","All Periods: RMSE",0.635568114852462
"Panel B: Assignment Selection + Random Timing","Aggregated Proj. Matrix","Treated Periods: E(Bias)",0.0501483789338267
"Panel B: Assignment Selection + Random Timing","Aggregated Proj. Matrix","Treated Periods: MAD",0.168770706541948
"Panel B: Assignment Selection + Random Timing","Aggregated Proj. Matrix","Treated Periods: Coverage",1
"Panel B: Assignment Selection + Random Timing","Aggregated Proj. Matrix","Untreated Periods: E(Bias)",0.0138293719890919
"Panel B: Assignment Selection + Random Timing","Aggregated Proj. Matrix","Untreated Periods: MAD",0.0458530338817617
"Panel B: Assignment Selection + Random Timing","Aggregated Proj. Matrix","Untreated Periods: Coverage",0.5
"Panel C: Random Assignment + Timing Selection","Causal Factor Model","All Periods: E(Bias)",-0.0010909885810224
"Panel C: Random Assignment + Timing Selection","Causal Factor Model","All Periods: MAD",0.0474042492320111
"Panel C: Random Assignment + Timing Selection","Causal Factor Model","All Periods: RMSE",2.33956607422039
"Panel C: Random Assignment + Timing Selection","Causal Factor Model","Treated Periods: E(Bias)",-1.76019712177357
"Panel C: Random Assignment + Timing Selection","Causal Factor Model","Treated Periods: MAD",1.77294402648447
"Panel C: Random Assignment + Timing Selection","Causal Factor Model","Treated Periods: Coverage",0.24
"Panel C: Random Assignment + Timing Selection","Causal Factor Model","Untreated Periods: E(Bias)",0.174819624738233
"Panel C: Random Assignment + Timing Selection","Causal Factor Model","Untreated Periods: MAD",0.177359905046397
"Panel C: Random Assignment + Timing Selection","Causal Factor Model","Untreated Periods: Coverage",0.084
"Panel C: Random Assignment + Timing Selection","Aggregated Proj. Matrix","All Periods: E(Bias)",-0.00211568456476618
"Panel C: Random Assignment + Timing Selection","Aggregated Proj. Matrix","All Periods: MAD",0.0465739536964726
"Panel C: Random Assignment + Timing Selection","Aggregated Proj. Matrix","All Periods: RMSE",0.640534734577762
"Panel C: Random Assignment + Timing Selection","Aggregated Proj. Matrix","Treated Periods: E(Bias)",0.0909444949551066
"Panel C: Random Assignment + Timing Selection","Aggregated Proj. Matrix","Treated Periods: MAD",0.22403189305084
"Panel C: Random Assignment + Timing Selection","Aggregated Proj. Matrix","Treated Periods: Coverage",1
"Panel C: Random Assignment + Timing Selection","Aggregated Proj. Matrix","Untreated Periods: E(Bias)",-0.0114217025167535
"Panel C: Random Assignment + Timing Selection","Aggregated Proj. Matrix","Untreated Periods: MAD",0.0428044024475817
"Panel C: Random Assignment + Timing Selection","Aggregated Proj. Matrix","Untreated Periods: Coverage",0.496
"Panel D: Assignment Selection + Timing Selection","Causal Factor Model","All Periods: E(Bias)",-0.0421444932653272
"Panel D: Assignment Selection + Timing Selection","Causal Factor Model","All Periods: MAD",0.0606038459912898
"Panel D: Assignment Selection + Timing Selection","Causal Factor Model","All Periods: RMSE",2.34624119560373
"Panel D: Assignment Selection + Timing Selection","Causal Factor Model","Treated Periods: E(Bias)",-1.9308839402796
"Panel D: Assignment Selection + Timing Selection","Causal Factor Model","Treated Periods: MAD",1.9308839402796
"Panel D: Assignment Selection + Timing Selection","Causal Factor Model","Treated Periods: Coverage",0.24
"Panel D: Assignment Selection + Timing Selection","Causal Factor Model","Untreated Periods: E(Bias)",0.1467294514361
"Panel D: Assignment Selection + Timing Selection","Causal Factor Model","Untreated Periods: MAD",0.146854485157996
"Panel D: Assignment Selection + Timing Selection","Causal Factor Model","Untreated Periods: Coverage",0.082
"Panel D: Assignment Selection + Timing Selection","Aggregated Proj. Matrix","All Periods: E(Bias)",-0.0410425595793048
"Panel D: Assignment Selection + Timing Selection","Aggregated Proj. Matrix","All Periods: MAD",0.0610987515900449
"Panel D: Assignment Selection + Timing Selection","Aggregated Proj. Matrix","All Periods: RMSE",0.757518414003018
"Panel D: Assignment Selection + Timing Selection","Aggregated Proj. Matrix","Treated Periods: E(Bias)",-0.387540327535335
"Panel D: Assignment Selection + Timing Selection","Aggregated Proj. Matrix","Treated Periods: MAD",0.402081500521585
"Panel D: Assignment Selection + Timing Selection","Aggregated Proj. Matrix","Treated Periods: Coverage",1
"Panel D: Assignment Selection + Timing Selection","Aggregated Proj. Matrix","Untreated Periods: E(Bias)",-0.0063927827837018
"Panel D: Assignment Selection + Timing Selection","Aggregated Proj. Matrix","Untreated Periods: MAD",0.0499027214634193
"Panel D: Assignment Selection + Timing Selection","Aggregated Proj. Matrix","Untreated Periods: Coverage",0.522
